COLUMN_0,NAME,ALBUM,ARTIST,RELEASE_DATE,LENGTH,POPULARITY,DANCEABILITY,ACOUSTICNESS,ENERGY,INSTRUMENTALNESS,LIVENESS,LOUDNESS,SPEECHINESS,VALENCE,TEMPO
14,Teardrops on My Guitar - Pop Version,Taylor Swift,Taylor Swift,2006-10-24,179066,48,0.459,0.040200,0.753,0.00000000,0.0863,-3.827,0.0537,0.4830,199.997
15,Mine - POP Mix,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230546,45,0.696,0.004610,0.768,0.00000121,0.1010,-3.863,0.0308,0.6920,121.050
16,Sparks Fly,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,260946,50,0.608,0.038700,0.785,0.00000000,0.1580,-2.976,0.0311,0.3760,114.985
17,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,50,0.517,0.020200,0.606,0.00000000,0.3240,-5.797,0.0289,0.2960,141.929
18,Speak Now,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,240773,49,0.708,0.101000,0.601,0.00000000,0.0979,-3.750,0.0306,0.7420,118.962
19,Dear John,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,403887,48,0.583,0.183000,0.468,0.00000165,0.1110,-5.378,0.0278,0.1260,119.375
20,Mean,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,237746,48,0.570,0.445000,0.747,0.00000000,0.2190,-3.978,0.0426,0.8080,164.004
21,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,265636,48,0.575,0.000315,0.855,0.00161000,0.0419,-4.827,0.0467,0.8400,139.920
22,Never Grow Up,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,290480,44,0.715,0.829000,0.308,0.00000000,0.1600,-8.829,0.0305,0.5470,124.899
23,Enchanted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,352200,51,0.535,0.071600,0.618,0.00038800,0.1690,-3.913,0.0273,0.2280,81.975
24,Better Than Revenge,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217173,49,0.519,0.016700,0.917,0.00002060,0.3590,-3.185,0.0887,0.6520,145.882
25,Innocent,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,302266,44,0.553,0.202000,0.604,0.00000000,0.1250,-5.295,0.0258,0.1860,133.989
26,Haunted,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,242093,47,0.434,0.076900,0.944,0.00000000,0.1510,-2.641,0.0581,0.3610,162.020
27,Last Kiss,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,367146,47,0.359,0.581000,0.329,0.00003750,0.0979,-9.531,0.0293,0.2080,84.358
28,Long Live,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,317960,47,0.412,0.042600,0.682,0.00007470,0.1060,-4.319,0.0339,0.1460,203.959
29,Ours,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,238173,55,0.610,0.505000,0.556,0.00000000,0.0851,-7.369,0.0285,0.1920,159.838
30,If This Was A Movie,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,234546,52,0.515,0.154000,0.724,0.00000405,0.2690,-3.498,0.0267,0.2570,147.788
31,Superman,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,276266,47,0.582,0.018700,0.817,0.00000194,0.1010,-3.718,0.0337,0.5470,131.983
32,Back To December - Acoustic,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,292533,59,0.541,0.731000,0.451,0.00000000,0.1970,-6.522,0.0270,0.3330,141.713
33,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,217626,48,0.574,0.841000,0.462,0.00000000,0.2800,-5.124,0.0252,0.3140,80.858
34,Mine,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230773,64,0.621,0.003270,0.780,0.00000455,0.1840,-2.934,0.0297,0.6720,121.038
35,Back To December,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,43,0.525,0.113000,0.676,0.00000000,0.2940,-4.684,0.0294,0.2810,141.950
36,The Story Of Us,Speak Now (Deluxe Package),Taylor Swift,2010-01-01,266480,59,0.546,0.004870,0.809,0.00037200,0.0437,-3.621,0.0410,0.6490,139.910
37,State Of Grace,Red (Deluxe Edition),Taylor Swift,2012-10-22,295720,62,0.588,0.000197,0.825,0.00138000,0.0884,-5.882,0.0328,0.3970,129.968
38,Red,Red (Deluxe Edition),Taylor Swift,2012-10-22,223093,66,0.602,0.077300,0.896,0.00008870,0.0911,-4.267,0.0437,0.6410,124.978
39,Treacherous,Red (Deluxe Edition),Taylor Swift,2012-10-22,242760,61,0.704,0.101000,0.621,0.00000430,0.1400,-8.086,0.0334,0.3950,109.995
40,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,65,0.622,0.004540,0.469,0.00000225,0.0335,-6.798,0.0363,0.6790,77.019
41,All Too Well,Red (Deluxe Edition),Taylor Swift,2012-10-22,329160,72,0.602,0.038200,0.609,0.00020000,0.1280,-7.803,0.0243,0.3370,93.060
42,22,Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,64,0.661,0.002150,0.729,0.00130000,0.0477,-6.561,0.0376,0.6680,103.987
43,I Almost Do,Red (Deluxe Edition),Taylor Swift,2012-10-22,244560,61,0.567,0.017300,0.481,0.00004130,0.1820,-7.357,0.0270,0.2330,145.865
44,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,65,0.628,0.009570,0.676,0.00002650,0.1210,-5.911,0.0916,0.7500,85.984
45,Stay Stay Stay,Red (Deluxe Edition),Taylor Swift,2012-10-22,205853,60,0.729,0.307000,0.748,0.00000129,0.0962,-6.670,0.0245,0.9280,99.981
46,The Last Time,Red (Deluxe Edition),Taylor Swift,2012-10-22,299013,61,0.505,0.035000,0.443,0.00000315,0.0906,-7.039,0.0276,0.1230,94.069
47,Holy Ground,Red (Deluxe Edition),Taylor Swift,2012-10-22,202960,61,0.627,0.016200,0.816,0.00208000,0.0965,-6.698,0.0774,0.6480,157.043
48,Sad Beautiful Tragic,Red (Deluxe Edition),Taylor Swift,2012-10-22,284866,59,0.624,0.632000,0.340,0.03370000,0.0805,-12.411,0.0290,0.2610,129.987
49,The Lucky One,Red (Deluxe Edition),Taylor Swift,2012-10-22,240266,60,0.706,0.037100,0.499,0.00000000,0.1320,-7.675,0.0369,0.5450,117.937
50,Everything Has Changed,Red (Deluxe Edition),Taylor Swift,2012-10-22,245413,62,0.624,0.360000,0.458,0.00000389,0.3110,-6.755,0.0287,0.4360,80.016
51,Starlight,Red (Deluxe Edition),Taylor Swift,2012-10-22,220600,58,0.649,0.021300,0.777,0.00033500,0.2100,-5.804,0.0406,0.5870,126.018
52,Begin Again,Red (Deluxe Edition),Taylor Swift,2012-10-22,239426,60,0.530,0.199000,0.526,0.00000352,0.1400,-8.349,0.0263,0.3230,79.025
53,The Moment I Knew,Red (Deluxe Edition),Taylor Swift,2012-10-22,286613,58,0.619,0.187000,0.506,0.00001470,0.1010,-7.327,0.0315,0.2740,126.030
54,Come Back...Be Here,Red (Deluxe Edition),Taylor Swift,2012-10-22,223920,60,0.483,0.004710,0.548,0.00000201,0.0997,-6.291,0.0254,0.2170,79.926
55,Girl At Home,Red (Deluxe Edition),Taylor Swift,2012-10-22,220840,55,0.733,0.272000,0.590,0.00000000,0.1340,-5.860,0.0284,0.6330,125.048
56,Treacherous - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,240266,53,0.828,0.175000,0.640,0.00006140,0.0991,-8.248,0.0355,0.5190,109.993
57,Red - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,227080,53,0.678,0.113000,0.902,0.00023500,0.0705,-4.659,0.0358,0.6370,124.998
58,State Of Grace - Acoustic,Red (Deluxe Edition),Taylor Swift,2012-10-22,323080,55,0.626,0.664000,0.118,0.00016900,0.1270,-15.910,0.0305,0.0682,105.597
59,Welcome To New York,1989 (Deluxe),Taylor Swift,2014-01-01,212600,58,0.789,0.034800,0.634,0.00000164,0.3020,-4.762,0.0323,0.6580,116.992
60,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,231826,82,0.760,0.103000,0.703,0.00000000,0.0913,-5.412,0.0540,0.5700,95.997
61,Style,1989 (Deluxe),Taylor Swift,2014-01-01,231000,75,0.588,0.002450,0.791,0.00258000,0.1180,-5.595,0.0402,0.4870,94.933
62,Out Of The Woods,1989 (Deluxe),Taylor Swift,2014-01-01,235800,67,0.553,0.000743,0.841,0.00001190,0.3410,-6.937,0.0396,0.3380,92.008
63,All You Had To Do Was Stay,1989 (Deluxe),Taylor Swift,2014-01-01,193293,58,0.605,0.002010,0.725,0.00002020,0.1010,-5.729,0.0323,0.5390,96.970
64,Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,80,0.647,0.064700,0.800,0.00000000,0.3340,-5.384,0.1650,0.9420,160.078
65,I Wish You Would,1989 (Deluxe),Taylor Swift,2014-01-01,207440,60,0.653,0.015800,0.893,0.00004950,0.1020,-5.966,0.0538,0.5130,118.035
66,Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,211933,59,0.646,0.088500,0.794,0.00000616,0.2010,-6.104,0.1900,0.2870,170.216
67,Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,220440,61,0.550,0.069200,0.688,0.00144000,0.1060,-7.416,0.0897,0.4650,139.997
68,How You Get The Girl,1989 (Deluxe),Taylor Swift,2014-01-01,247533,60,0.765,0.003640,0.656,0.00868000,0.0918,-6.112,0.0504,0.5450,119.997
69,This Love,1989 (Deluxe),Taylor Swift,2014-01-01,250093,60,0.481,0.678000,0.435,0.00000000,0.0928,-8.795,0.0321,0.1070,143.950
70,I Know Places,1989 (Deluxe),Taylor Swift,2014-01-01,195706,58,0.602,0.245000,0.755,0.00000000,0.1780,-4.991,0.0710,0.4950,159.965
71,Clean,1989 (Deluxe),Taylor Swift,2014-01-01,271000,63,0.815,0.232000,0.377,0.00000000,0.1000,-7.754,0.0346,0.2110,103.970
72,Wonderland,1989 (Deluxe),Taylor Swift,2014-01-01,245560,65,0.422,0.049300,0.692,0.00002570,0.1770,-5.447,0.0549,0.1970,184.014
73,You Are In Love,1989 (Deluxe),Taylor Swift,2014-01-01,267106,62,0.474,0.707000,0.480,0.00010800,0.0903,-8.894,0.0622,0.3190,170.109
74,New Romantics,1989 (Deluxe),Taylor Swift,2014-01-01,230466,66,0.633,0.004630,0.889,0.00045800,0.0658,-5.870,0.0715,0.5840,121.956
78,...Ready For It?,reputation,Taylor Swift,2017-11-10,208186,74,0.613,0.052700,0.764,0.00000000,0.1970,-6.509,0.1360,0.4170,160.015
79,End Game,reputation,Taylor Swift,2017-11-10,244826,72,0.649,0.008450,0.589,0.00000000,0.1080,-6.237,0.0558,0.1510,159.073
80,I Did Something Bad,reputation,Taylor Swift,2017-11-10,238253,74,0.696,0.067900,0.602,0.00002110,0.0696,-6.156,0.1590,0.3050,82.989
81,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,75,0.615,0.106000,0.534,0.00001760,0.0607,-6.719,0.0386,0.1930,135.917
82,Delicate,reputation,Taylor Swift,2017-11-10,232253,78,0.750,0.216000,0.404,0.00035700,0.0911,-10.178,0.0682,0.0499,95.045
83,Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,77,0.766,0.204000,0.709,0.00001410,0.1260,-6.471,0.1230,0.5060,128.070
84,So It Goes...,reputation,Taylor Swift,2017-11-10,227906,66,0.574,0.122000,0.610,0.00000110,0.1300,-7.283,0.0732,0.3740,74.957
85,Gorgeous,reputation,Taylor Swift,2017-11-10,209680,72,0.800,0.071300,0.535,0.00000948,0.2130,-6.684,0.1350,0.4510,92.027
86,Getaway Car,reputation,Taylor Swift,2017-11-10,233626,76,0.562,0.004650,0.689,0.00000223,0.0888,-6.745,0.1270,0.3510,172.054
87,King Of My Heart,reputation,Taylor Swift,2017-11-10,214320,69,0.675,0.008820,0.703,0.00000221,0.0391,-7.902,0.0382,0.3140,110.010
88,Dancing With Our Hands Tied,reputation,Taylor Swift,2017-11-10,211506,68,0.624,0.060400,0.691,0.00001100,0.1380,-6.686,0.1960,0.2840,160.024
89,Dress,reputation,Taylor Swift,2017-11-10,230373,71,0.719,0.032900,0.469,0.00000000,0.1690,-8.792,0.0533,0.0851,120.085
90,This Is Why We Can't Have Nice Things,reputation,Taylor Swift,2017-11-10,207133,68,0.567,0.015600,0.789,0.00000000,0.3820,-5.986,0.1150,0.4380,163.960
91,Call It What You Want,reputation,Taylor Swift,2017-11-10,203506,71,0.598,0.186000,0.504,0.00022100,0.3400,-9.874,0.0731,0.2520,163.954
92,New Year’s Day,reputation,Taylor Swift,2017-11-10,235466,67,0.661,0.921000,0.151,0.00000000,0.1300,-12.864,0.0354,0.2300,94.922
93,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,72,0.664,0.298000,0.316,0.00000203,0.0812,-10.345,0.5190,0.5410,92.875
94,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,77,0.552,0.117000,0.702,0.00002060,0.1050,-5.707,0.1570,0.5640,169.994
95,Lover,Lover,Taylor Swift,2019-08-23,221306,80,0.359,0.492000,0.543,0.00001580,0.1180,-7.582,0.0919,0.4530,68.534
96,The Man,Lover,Taylor Swift,2019-08-23,190360,75,0.777,0.076700,0.658,0.00000000,0.0901,-5.191,0.0540,0.6330,110.048
97,The Archer,Lover,Taylor Swift,2019-08-23,211240,69,0.292,0.120000,0.574,0.00569000,0.0663,-9.375,0.0401,0.1660,124.344
98,I Think He Knows,Lover,Taylor Swift,2019-08-23,173386,70,0.897,0.008890,0.366,0.00035300,0.0715,-8.029,0.0569,0.4160,100.003
99,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,234146,70,0.662,0.028000,0.747,0.00615000,0.1380,-6.926,0.0736,0.4870,150.088
100,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,76,0.811,0.012900,0.719,0.00001360,0.0742,-6.553,0.0497,0.8650,103.979
101,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,71,0.824,0.781000,0.624,0.00018900,0.1000,-9.728,0.0827,0.2480,102.012
102,Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,198533,71,0.712,0.454000,0.732,0.00000000,0.3190,-6.754,0.0629,0.3130,94.071
103,London Boy,Lover,Taylor Swift,2019-08-23,190240,72,0.695,0.024600,0.710,0.00010400,0.1330,-6.639,0.0500,0.5570,157.925
104,Soon You’ll Get Better (feat. The Chicks),Lover,Taylor Swift,2019-08-23,201586,65,0.433,0.907000,0.182,0.00000000,0.1230,-12.566,0.0641,0.4210,207.476
105,False God,Lover,Taylor Swift,2019-08-23,200306,68,0.739,0.736000,0.320,0.00014700,0.1110,-10.862,0.2390,0.3510,79.970
106,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,78,0.771,0.009290,0.671,0.00000000,0.0637,-5.617,0.0553,0.7140,85.026
107,Afterglow,Lover,Taylor Swift,2019-08-23,223293,74,0.756,0.130000,0.449,0.00000000,0.1140,-8.746,0.0344,0.3990,111.011
108,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,77,0.610,0.033000,0.830,0.00000000,0.1180,-4.105,0.0571,0.7280,182.162
109,It’s Nice To Have A Friend,Lover,Taylor Swift,2019-08-23,150440,65,0.737,0.971000,0.175,0.00033700,0.1710,-9.912,0.0401,0.5450,70.008
110,Daylight,Lover,Taylor Swift,2019-08-23,293453,68,0.557,0.808000,0.496,0.00017300,0.0772,-9.602,0.0563,0.2650,149.983
111,the 1,folklore (deluxe version),Taylor Swift,2020-08-18,210240,64,0.780,0.750000,0.361,0.00000714,0.1080,-6.942,0.0480,0.1630,139.902
112,cardigan,folklore (deluxe version),Taylor Swift,2020-08-18,239560,65,0.612,0.525000,0.580,0.00041400,0.2600,-8.572,0.0419,0.5340,130.045
113,the last great american dynasty,folklore (deluxe version),Taylor Swift,2020-08-18,231000,63,0.688,0.481000,0.653,0.00414000,0.1060,-8.558,0.0403,0.7010,147.991
114,exile (feat. Bon Iver),folklore (deluxe version),Taylor Swift,2020-08-18,285640,64,0.310,0.761000,0.374,0.00002460,0.1100,-8.464,0.0275,0.1600,75.938
115,my tears ricochet,folklore (deluxe version),Taylor Swift,2020-08-18,255893,64,0.456,0.814000,0.265,0.00000000,0.0679,-10.663,0.0328,0.1120,129.947
116,mirrorball,folklore (deluxe version),Taylor Swift,2020-08-18,208973,63,0.549,0.686000,0.417,0.00000190,0.0604,-10.064,0.0350,0.3470,110.137
117,seven,folklore (deluxe version),Taylor Swift,2020-08-18,208906,62,0.602,0.888000,0.494,0.00002590,0.0902,-10.813,0.0277,0.3740,94.955
118,august,folklore (deluxe version),Taylor Swift,2020-08-18,261920,65,0.387,0.553000,0.634,0.00006930,0.0931,-9.222,0.0363,0.4200,89.567
119,this is me trying,folklore (deluxe version),Taylor Swift,2020-08-18,195106,63,0.511,0.312000,0.478,0.00002300,0.1470,-9.837,0.0322,0.4080,135.882
120,illicit affairs,folklore (deluxe version),Taylor Swift,2020-08-18,190893,62,0.529,0.862000,0.304,0.00000000,0.1080,-10.567,0.0356,0.4400,119.580
121,invisible string,folklore (deluxe version),Taylor Swift,2020-08-18,252880,62,0.651,0.859000,0.459,0.00006630,0.1050,-11.128,0.0507,0.4540,83.455
122,mad woman,folklore (deluxe version),Taylor Swift,2020-08-18,237266,61,0.593,0.670000,0.700,0.00000677,0.1160,-9.016,0.0492,0.4510,141.898
123,epiphany,folklore (deluxe version),Taylor Swift,2020-08-18,289746,60,0.317,0.727000,0.254,0.00032600,0.0867,-13.679,0.0286,0.1030,93.933
124,betty,folklore (deluxe version),Taylor Swift,2020-08-18,294520,62,0.595,0.589000,0.376,0.00000000,0.0989,-8.767,0.0256,0.4760,95.946
125,peace,folklore (deluxe version),Taylor Swift,2020-08-18,234000,60,0.644,0.916000,0.284,0.00001500,0.0909,-12.879,0.0821,0.3280,150.072
126,hoax,folklore (deluxe version),Taylor Swift,2020-08-18,220040,60,0.676,0.964000,0.178,0.00000790,0.1350,-15.010,0.0394,0.4040,118.840
127,the lakes - bonus track,folklore (deluxe version),Taylor Swift,2020-08-18,211813,65,0.313,0.842000,0.258,0.00000130,0.0948,-11.532,0.0383,0.2680,179.947
128,willow,evermore (deluxe version),Taylor Swift,2021-01-07,214706,67,0.392,0.833000,0.574,0.00179000,0.1450,-9.195,0.1700,0.5290,81.112
129,champagne problems,evermore (deluxe version),Taylor Swift,2021-01-07,244000,69,0.462,0.920000,0.240,0.00000000,0.1130,-12.077,0.0377,0.3200,171.319
130,gold rush,evermore (deluxe version),Taylor Swift,2021-01-07,185320,66,0.512,0.830000,0.462,0.16600000,0.1210,-10.491,0.0408,0.3530,112.050
131,‘tis the damn season,evermore (deluxe version),Taylor Swift,2021-01-07,229840,66,0.575,0.735000,0.434,0.00006590,0.1050,-8.193,0.0312,0.3480,145.916
132,tolerate it,evermore (deluxe version),Taylor Swift,2021-01-07,245440,66,0.316,0.878000,0.361,0.00002670,0.0797,-10.381,0.0488,0.2210,74.952
133,"no body, no crime (feat. HAIM)",evermore (deluxe version),Taylor Swift,2021-01-07,215626,65,0.546,0.418000,0.613,0.00000000,0.1030,-7.589,0.0264,0.5350,79.015
134,happiness,evermore (deluxe version),Taylor Swift,2021-01-07,315146,64,0.559,0.870000,0.334,0.00000000,0.1140,-10.733,0.0376,0.2110,122.079
135,dorothea,evermore (deluxe version),Taylor Swift,2021-01-07,225880,64,0.605,0.696000,0.488,0.00000000,0.1290,-8.322,0.0264,0.3540,119.966
136,coney island (feat. The National),evermore (deluxe version),Taylor Swift,2021-01-07,275320,64,0.537,0.819000,0.537,0.00090400,0.1420,-11.266,0.0617,0.2920,107.895
137,ivy,evermore (deluxe version),Taylor Swift,2021-01-07,260440,65,0.515,0.855000,0.545,0.00001970,0.0921,-9.277,0.0353,0.5350,88.856
138,cowboy like me,evermore (deluxe version),Taylor Swift,2021-01-07,275040,64,0.604,0.768000,0.517,0.00015500,0.1230,-9.014,0.0347,0.5110,127.967
139,long story short,evermore (deluxe version),Taylor Swift,2021-01-07,215920,64,0.546,0.660000,0.730,0.17900000,0.0972,-7.704,0.0417,0.5730,157.895
140,marjorie,evermore (deluxe version),Taylor Swift,2021-01-07,257773,63,0.535,0.876000,0.561,0.00013600,0.1150,-11.609,0.0484,0.2870,96.103
141,closure,evermore (deluxe version),Taylor Swift,2021-01-07,180653,62,0.689,0.835000,0.704,0.00000483,0.1340,-10.813,0.2450,0.9200,151.884
142,evermore (feat. Bon Iver),evermore (deluxe version),Taylor Swift,2021-01-07,304106,64,0.390,0.937000,0.270,0.00227000,0.1110,-10.673,0.0308,0.3200,125.177
143,right where you left me - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,245026,72,0.581,0.769000,0.619,0.00010600,0.1170,-6.524,0.0282,0.6450,137.915
144,it’s time to go - bonus track,evermore (deluxe version),Taylor Swift,2021-01-07,254640,68,0.592,0.801000,0.410,0.00001390,0.0900,-12.426,0.0397,0.4160,151.923
145,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241591,69,0.569,0.012200,0.741,0.00000000,0.3330,-4.963,0.0282,0.4300,100.118
146,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,294419,66,0.559,0.116000,0.646,0.00000000,0.3200,-4.610,0.0272,0.2890,95.466
147,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,235766,74,0.627,0.130000,0.792,0.00000397,0.0845,-4.311,0.0310,0.4150,119.054
148,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,254254,66,0.788,0.106000,0.571,0.00000000,0.0934,-6.135,0.0296,0.7970,115.990
149,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,234515,66,0.423,0.369000,0.517,0.00000000,0.1770,-7.377,0.0486,0.3660,185.262
150,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,231124,76,0.632,0.062300,0.773,0.00000000,0.0885,-4.856,0.0346,0.4740,130.033
151,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263377,64,0.506,0.156000,0.626,0.00000000,0.2280,-6.066,0.0287,0.3210,148.035
152,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,200575,63,0.578,0.022200,0.909,0.00000000,0.3330,-3.669,0.0628,0.5410,100.023
153,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,261842,64,0.506,0.053800,0.444,0.00000000,0.1230,-4.990,0.0285,0.2410,133.873
154,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,243136,74,0.402,0.003300,0.732,0.00000000,0.1080,-4.665,0.0484,0.4720,161.032
155,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,225328,67,0.598,0.023100,0.821,0.00000000,0.1430,-4.433,0.0447,0.6730,128.030
156,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,245290,62,0.642,0.488000,0.576,0.00000000,0.1590,-8.524,0.0282,0.4690,125.000
157,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,279359,61,0.499,0.000191,0.815,0.00000000,0.1810,-4.063,0.0341,0.3440,95.999
158,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237580,62,0.572,0.047400,0.690,0.00000000,0.0897,-6.201,0.0358,0.6240,160.111
159,Untouchable (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,312107,62,0.393,0.018100,0.531,0.00000000,0.1690,-6.112,0.0329,0.2240,200.391
160,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,267833,63,0.546,0.819000,0.273,0.00000000,0.1370,-9.208,0.0308,0.2710,118.753
161,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,237338,61,0.476,0.040600,0.564,0.00000000,0.1020,-5.677,0.0269,0.1670,143.929
162,Superstar (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,263865,60,0.454,0.157000,0.555,0.00000000,0.3430,-6.690,0.0283,0.1710,171.862
163,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,238443,64,0.432,0.027900,0.873,0.00000000,0.1670,-4.367,0.0577,0.6290,163.936
164,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2021-04-09,241822,62,0.482,0.013500,0.779,0.00000000,0.2960,-5.025,0.0409,0.3280,158.162
165,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,2021-04-09,220839,63,0.599,0.816000,0.494,0.00000000,0.1010,-7.610,0.0372,0.4400,142.893
